「実験心理学の父」と呼ばれるドイツ人心理学者。内観法を重視した。,ヴィルヘルム・ヴント,
法隆寺の大宝蔵殿に安置されている観音菩薩立像。その名前は「悪い夢を見たときにこの観音像に祈るとよい夢に変えてくれる」という伝説に由来する。,夢違観音,
約2300万年前から360万年前の前期中新世から鮮新世にかけて生息していた絶滅種のサメ。ムカシオオホホジロザメ。,メガロドン,
北アメリカの第四紀更新世に栄えた、食肉目ネコ科に属する大型絶滅属。サーベルタイガーの代表。,スミロドン,
ヒトを含む類人猿のグループのこと。,ホミノイド,
画像付き。キク科。夏。,ネコノシタ（ハマグルマ）,images/bot/nekonosita.jpg
画像付き。ケシ科。春。,キケマン,images/bot/kesiman.jpg
画像付き。ヒガンバナ科。夏。,ハマオモト（ハマユウ）,images/bot/hamayuu.jpg
画像付き。アオイ科。夏。,ハマボウ,images/bot/hamabou.jpg
画像付き。マメ科。春。沖縄県の県の花。,デイゴ,images/bot/deigo.jpg
画像付き。タコノキ科。夏。,アダン,images/bot/adan.jpg
塩基＋糖＋リン酸の構造をもつ化合物。核酸を構成する構造単位。,ヌクレオチド,
DNAの塩基組成において、AとTおよびGとCの量が等しいという関係規則のこと。,シャルガフの規則,
遺伝情報はその担い手であるDNAから直接タンパク質へ移されるのではなく、一度メッセンジャーRNAに移され、それに従ってタンパク質のアミノ酸配列が決まり、形質発現がなされるという流れ。,セントラルドグマ,
卵白、涙、鼻汁、白血球に存在する酵素。細菌の細胞壁の主要成分ムロペプチドの多糖類を水解し、溶菌を起させる。,リゾチーム,
酵素。呼吸作用の有害な産物である過酸化水素をただちに分解除去する働きをするとされている。ヒトでは肝臓や赤血球に豊富。,カタラーゼ,
核酸の DNAを複製する際に働く酵素。,DNAポリメラーゼ,
細胞周期において、間期の中でも特にDNAの合成（複製）が行われる時期のこと。その準備が行われるのはG期と呼ばれる。,S期,
染色質（クロマチン）の基本構成単位。蛋白質ヒストンからなるコアの周囲にＤＮＡが巻きついた構造をとる。これが凝縮して染色体になる。,ヌクレオソーム,
イギリスの生物学者。オタマジャクシの細胞の核を、事前に核を除いた未受精卵に移植することでカエルのクローンを作製、世界初の体細胞クローン作製を成功させた。また、山中伸弥と共にノーベル生理学医学賞を受賞している。,ジョン・ガードン,
血漿中で他の血液凝固因子の作用によって繊維状に重合して血液凝固を起こす。組織液や血小板因子に反応にして作られるトロンビンから生成される。,フィブリン,
強力な血液凝固阻止作用をもつ多糖類の一種。その名前はイヌの肝臓から分離されたことに由来する。,ヘパリン,
生体の免疫反応を担う一群の血球の総称。リンパ液の主要な有形成分をなす。脊椎動物では胸腺で成熟するT細胞と骨髄で成熟し，抗体を産生するB細胞に大別される。T細胞はさらに，免疫応答を調節するヘルパーT細胞と，ウイルスに感染した細胞などを排除するキラーT細胞に分かれる。,リンパ球,
動物体のすべての組織に出現する遊走性の大形細胞で、生体に侵入した異物や細菌、あるいは体内に生じた変性物質を食べ込む。大食細胞とも。,マクロファージ,
白血球の一つ。最も割合が大きく、通常白血球全体の約六〇パーセントを占める。細菌などをよく食うので小食細胞ともいう。,好中球,
抗原提示細胞の一つ。からだ中に分布し、マクロファージなどとともに抗原をとりこみ、消化してヘルパーT細胞に抗原を提示する。,樹状細胞,
「ー（こうのとり）」「ー鵲（カンジャク）」,鸛,
「ーぶ（もてあそぶ）」「ー味（ガンミ）」,玩（翫）,
「ー（にせ、にせもの）」,偐,
「ー（いわ）」「岑ー（シンガン）」,嵒,
「ー（かり）」「ー字搦め（ガンジがらめ）」,雁,
「ーく（うなずく）」「ー（あご）」「ー聯（ガンレン）」,頷,
「ー（ガン）」「ー種（ガンシュ）」,癌,
「ー（にせ）」「ー物（ガンブツ）」,贋,
「ー（ずし）」「ー灯（ガンドウ、ガントウ）」,龕,
「ー（つくえ、ひじかけ）」「ー帳面（キチョウメン）」,几,
「ー（くさ）」「花ー（カキ）」,卉,
「歌舞ー(カブキ)」「ー（わざ、たくみ）」「ー楽（ギガク）」,伎,
「ー憂（キユウ）」「ー（くこ）」,杞,
「ー（ゆげ）」,汽,
「ー寒（キカン）」「ーいに（おおいに）」,祁,
「ー（からたち）」「ー棘（キキョク）」,枳,
約10億年前から7億年前にかけて、現在の太平洋の南半球側に存在した超大陸。大陸周辺部でエディアカラ動物群が進化したとされる。,ロディニア大陸,
古生代後期から中生代にかけて南半球に存在していた、現在の南アメリカ、アフリカ、インド、南極、オーストラリアなどからなる超大陸。,ゴンドワナ大陸,
中世代ごろ、テチス海を挟んでゴンドワナ大陸の北側にあった超大陸。,ローラシア大陸,
約3億年から2億年前の古生代石炭紀後期から中生代三畳紀にかけて存在していた超大陸。北側のローラシア大陸と南側のゴンドワナ大陸に大きく分かれており、間にはテチス海という大きな湾入が存在していた。その周囲の海はパンサラッサと呼ばれる。,パンゲア,
ユカタン半島にある巨大クレーター。恐竜絶滅の間接的要因になったとされる白亜紀末の隕石によるもの。,チクシュルーブ・クレーター,
現在の人類の母系祖先を遡っていったとき、最初にたどりつく、共通する一人の女性祖先のこと。,ミトコンドリア・イヴ,
約1億年から2億年後に出現することが想定される超大陸。ユーラシア大陸の東端とアメリカ大陸の西端が合体して形成されると考えられている。大西洋が消滅するモデルではパンゲア・ウルティマ大陸と呼ばれる。,アメイジア大陸,
太陽風が届く範囲。,ヘリオスフィア（太陽圏）,
体液性免疫の中心となるリンパ球の一種。Ｔ細胞との協同を経て、抗体を産生する細胞へと分化する。,Ｂ細胞,
脊椎動物の血液や体液中にあって抗体としての機能と構造をもつタンパク質の総称。アレルギーに対してはIgEが、ウイルスや細菌に対してはまずIgM（次にIgG）が反応する。,免疫グロブリン（Ig),
免疫反応のうち、キラーＴ細胞、マクロファージ、ナチュラルキラー細胞などの細胞が病原体そのものやウイルスなどに感染した細胞、癌細胞などを排除するもの。,細胞性免疫,
ヒト白血球抗原。皮膚・臓器移植の際には患者とドナーとで一致しないと拒絶反応を起こす。,HLA,
自分自身の体内の細胞を異物と認識したために自己抗体やリンパ球が作られ，自己の細胞が攻撃されて起る組織の障害や病変。橋本病やバセドウ病など。,自己免疫疾患,
ヒト免疫不全ウイルス（HIV）によって引き起こされる感染症。白血球のT細胞を破壊するため免疫機能が極度に低下する。なお、T細胞は他の細胞とは異なり骨髄ではなく胸腺で発生・分化するため、大人になってからだと再生ができない。,AIDS（後天性免疫不全症候群）,
結核予防の目的で広く用いられるワクチン。その名前は「カルメット=ゲラン菌」の略。,BCG,
結核に対する免疫の有無を調べる検査法。,ツベルクリン反応,
抗毒素など高度に免疫された免疫血清を注射して感染症の治療を行う方法。ベーリングと北里柴三郎が、ジフテリア毒素や破傷風毒素で免疫した動物の血清が毒素を中和することを発見し、ベーリングはこの功績により第1回のノーベル医学生理学賞を受けた。,血清療法,
毛細血管を欠き，動脈を通過した血液がすべて組織間隙に流れ出すような血管系。無脊椎動物に多く見られる。,開放血管系,
肺でガス交換を終え、鮮紅色で多量の酸素・栄養素を含む血液。,動脈血,
心臓にあって拍動のリズム決定の働きをしている筋肉組織。右心房の洞房結節にある。,ペースメーカー,
脊椎動物において脾臓や胃、腸管の毛細血管からの血液を集め、これを肝臓に導く血管系のこと。その血液量は肝動脈からの流入量の約3倍とされる。,門脈,
淡水産の原生動物に特有の液胞。主として浸透圧の調節を行う。,収縮胞,
腎臓と尿管の接続部で、漏斗状に広がっている部分。腎臓からの尿が集まる所。,腎盂,
腎小体（ボーマン嚢と糸球体からなる）と尿細管からなる微小な構造物。腎単位。,ネフロン,
腎臓に作用してナトリウムイオンの再吸収を促進する働きを持つホルモン。,鉱質コルチコイド,
尿量を調節する作用(抗利尿作用)をもつホルモン。,バソプレシン,
おもにキク科植物に存在する多糖類の一種。植物体内でエネルギーを蓄える役割を持つ。なお、人体にはこれを分解する酵素が無いため、腎臓の子宮体濾過能力の試験などに利用される。,イヌリン,
間脳に位置し、内分泌や自律機能の調節を行う総合中枢。温調節やストレス応答、摂食行動や睡眠覚醒など多様な生理機能を協調して管理している。,視床下部,
副腎髄質や交感神経末端から分泌されるホルモン。アドレナリンの前駆体。血管収縮や血糖量増大などの作用をもつ。,ノルアドレナリン,
とくに脊椎動物の副交感神経や運動神経で、刺激を伝達する物質。化学的な神経伝達物質として初めて確立され、オットー・レーウィはこの功績によりノーベル生理学・医学賞を受賞している。,アセチルコリン,
甲状腺ホルモンの一つ。代謝をあげて発育を促す作用があり、過剰の場合はバセドー病、欠乏の場合は甲状腺腫などを引き起こす。,チロキシン,
副腎皮質ホルモンのうち、糖質代謝に関係するホルモン。筋肉に作用してグルコースを生成する。,糖質コルチコイド,
糖代謝を主とする種々の代謝異常をきたす疾患。インスリンを産生できない1型と、産生はできるが働きの悪い2型がある。,糖尿病,
神社の境内などに建立された寺院のこと。,神宮寺,
異なる言語を使う人達の間で意思伝達手段として使われる言語。また、商用で使われる国際共通語。,リンガ‐フランカ,
釈迦の遺体、または遺骨。,釈迦の遺体、または遺骨。,
宇多天皇が幼い醍醐天皇に位を譲る際に与えた教訓。摂政，関白をはじめ，貴族にとっても貴重な教養書であった。,寛平の御遺誡,
京都市右京区御室にある真言宗御室派の本山。宇多天皇が譲位後ここに住したので御室御所とも呼ばれ、境内は桜の名所として有名。,仁和寺,
平安時代以降、死者の怨霊のたたりを恐れ、これをなだめるために行った祭。,御霊会,
平安時代のの公卿。兄の死後関白となったがまもなく死去したため、七日関白と呼ばれる。弟に道長がいる。,藤原道兼,
生物の生活様式に適応した形態上の型。針葉樹や広葉樹、常緑樹などの類。デンマークの植物学者クリステン・ラウンケルが冬眠芽の位置で植物を分類したものがよく知られる。,生活形,
植物群落の遷移において、裸地にいちはやく侵入して定着する植物。地衣類・コケ植物のほか、一般に成長が早い陽生植物が定着する。,先駆植物,
植物群落が遷移を経て、大きく変化しなくなった森林。,極相林,
草原で地表からの高さに応じて植物を刈取って，茎と葉の垂直分布を調べる生態学の研究方法。生産構造図を作る際などに用いる。,層別刈取法,
森林で、樹冠どうしが接して横に連なっている部分。,林冠,
植物群落が自然現象や人為的攪乱によって破壊されたあとに起こる遷移。有機物や植物体の一部が残存する状態から始まる。,二次遷移,
夏季に雨量が少なく高温乾燥，冬季にやや低温で雨量が多い暖温帯に発達する森林。,硬葉樹林,
生態系の安定性や多様性を保つうえで不可欠な種のこと。,キーストーン種,
大気中の分子状窒素がアンモニアに還元される過程のこと。,窒素固定,
アンモニアを酸化して亜硝酸塩，さらに硝酸塩に酸化する生物の行う反応のこと。,硝化,
池沼，養魚池などで大発生して水を青緑色に変じさせる微小な藻類の総称，またその大発生の現象。,アオコ,
生物の体内に，ある特定の物質が外囲環境より高濃度となって蓄積される現象。,生物濃縮,
有機塩素系殺虫剤の一種。適用対象となる害虫は非常に多く，衛生害虫，農業害虫の防除に大きく役立ったが，残留毒性が強いため，日本では1971年使用禁止。,DDT（ジクロロジフェニルトリクロロエタン）,
聖なる力を伝える者が携える呪力を持った杖。2匹の蛇が棒をはいあがる形を持つ。,カドゥケウス（ケリュケイオン）,
大地を人格化したギリシア神話の女神。ヘシオドスの『神統紀』によれば，世界の初めにカオスに次いで生じ，夫ウラノスを産んだあと，この息子と結婚してティタンと呼ばれる神々の種族と，一眼巨人のキュクロプスたちおよび百手巨人ヘカトンケイルたちを産んだ。ところがウラノスはこれらの怪物の息子たちを憎み，母の胎内に戻したので，この仕打ちをを怒ったガイアは，ティタンたちの末弟のクロノスに命じ，ウラノスを去勢させてその王権を簒奪させた。,ガイア,
古代ローマの詩人。ギリシア神話の宝庫として珍重された『転身物語（変形譚）』などを著した。,オウィディウス,
ギリシア神話で大地の深奥にあるとされる冥界。ゼウスに敗れたティタン神族幽閉の場所。,タルタロス,
ギリシア神話の神。ローマの農耕神サツルヌスと同一視された。ウラノスを去勢して，父が保持していた天界の王位を簒奪した。姉レアを妻としたが，子が自分を倒すという予言を恐れて，子どもが生まれるごとにのみこんだ。しかし、隠されて育った末弟のゼウスに予言通り王位を簒奪された。,クロノス,
ギリシア神話におけるクロノスらティタン一族とゼウス兄弟たち（オリンポス神族）との戦い。,ティタノマキア,
ギリシア神話において、ティタンをタルタロスに閉じ込めたゼウスを罰するためにガイアによって生み出されたギガンテスとゼウスほかオリンポスの神々との間に起こった戦い。,ギガントマキア,
ギリシア神話の水の神。ティタン神族の一人で、ティタンたちがオリュンポスの神々との戦いに敗れたのちも，ゼウスの支配する世界においてその地位を維持した。英単語「ocean」の語源。,オケアノス,
ギリシア神話の冥府の川。オケアノスの娘。ティタノマキアではゼウスの呼びかけにまっさきに答え，オリュンポス神たちの側に味方したので，ゼウスはその報酬として，神々がステュクスの水にかけて立てた誓いは，決して破ることができないようにしたという。,ステュクス,
ギリシア神話の主神ゼウスの妃。結婚と出産をつかさどる。,ヘラ,
ギリシア神話の海の大神。アテネとアッティカの主神の座をめぐって争ったエピソードが有名。ローマ神話のネプチューンと同一視される。,ポセイドン,
ギリシャ神話で、技術・学芸や戦いなどをつかさどる女神。ゼウスの頭から武装した姿で生まれたとされる。ローマ神話ではミネルバ。,アテナ,
ギリシア神話で農耕と豊穣つかさどる女神。ローマ神話のケレスと同一視される。ハデスに連れ去られた娘ペルセフォネ（コレー）を捜してエレウシスを訪れたエピソードが有名。初めは怒ってこの地の神殿に引きこもったが、ペルセフォネが1年の3分の1を夫ハデスのもとで、残りの3分の2を母や神々のもとで過ごすように決めたことで怒りが解け、大地は実りを取り戻した。,デメテル,
ギリシア神話の死者の国を支配する神。ゼウスとポセイドンの兄弟にあたる。ローマ神話ではプルートと呼ばれる。常に冥府にいるのでオリンポス12神には通常数えられない。,ハデス,
ギリシア神話における冥府の川アケロンの渡し守。死者たちから1オボロスの渡し賃を取立てる。,カロン,
ギリシア神話のかまどの神。クロノスとレアの長女。,ヘスティア,
ギリシア神話の豊穣神，酒神。ローマ神話ではバッカスと呼ばれる。ゼウスとセメレの子で、ヘラの嫉妬を受けて母を殺され、離れた場所で育った。成長した後は信女の群れを従えて世界中に葡萄の栽培を広め、母を冥府から連れ戻してオリンポスの神々の仲間入りをした。アリアドネを妻とし、彼女に送った冠は星座になっている。,ディオニュソス,
ギリシャ神話で、詩人・音楽家で竪琴の名手。死んだ妻エウリュディケを連れ戻そうと冥界に下ったが、冥界の王ハデスとの約束に反して、後ろを振り向いて妻を見たため、望みを果たせなかった。その死後、竪琴は天に昇って星座となったという。また、ディオニュソスを主神とし輪廻転生の教説を持つ密儀宗教の創始者ともされる。,オルフェウス,
ギリシア神話の光明、医術、弓術、詩歌、音楽、預言、家畜の神。アポロンの愛を拒んで月桂樹に変わったダフネとの恋が有名。,アポロン,
ギリシア神話の美少年。アポロンに愛されたが，それを妬んだ神が投げた円盤に当たって死んだ。その血からヒヤシンスが咲いたとされる。,ヒュアキントス,
ギリシア神話の愛の神。アフロディテとアレスの子。ローマ神話ではキューピッド。,エロス,
ギリシア神話の軍神。ローマ神話ではマルスと同一視される。彼が殺人のかどで神々に裁かれた場所は彼の丘と呼ばれ、古代アテナにおける貴族会議アレオパゴス会議の名の由来になっている。,アレス,
ギリシア神話の火と鍛冶の神。妻のアフロディテとその情人である軍神アレスが密会しているところを巧妙な仕掛けで捕らえ、オリンポスの神々に見物させたという。パンドラを作ったことでも有名。,ヘファイストス,
ギリシア神話の愛と美と豊穣の女神。ローマ神話のヴィーナスと同一視される。クロノスによって切断されたウラノスの男根の周りに集まった海の泡から誕生したとされている。鍛治の神ヘパイストスの妻。,アフロディーテ,
ギリシア神話のオリンポス十二神の一人。ローマ神話のメルクリウスと同一視された。伝令の杖ケリュケイオンを持った美青年の姿に表わされる。,ヘルメス,
ギリシア神話の狩猟および月の女神。アポロンとは双生の妹。ローマ神話のディアナに相当し、月神セレネとしばしば混同・同一視される。,アルテミス,
ギリシア神話のティタン神族の1人。ティタノマキアの際は世界の支配権がゼウスに帰することを予見して彼に味方した。やがて悲惨な状態にある人間に深く同情するようになり、人間に火や知恵を与えたが、ゼウスの怒りを買い、コーカサスの頂で鷲（→わし座）に肝臓を食われ続けるという罰を与えられた。のち英雄ヘラクレスに解放された。,プロメテウス,
ギリシア神話の神。プロメテウスの弟。兄とは異なり愚か者だった彼は，プロメテウスの注意を無視して，ゼウスが人類の不幸のために彼のもとに送ってよこしたパンドラを妻にもらい受けてしまった。,エピメテウス,
ギリシア神話における人物。天上の火を盗んで人類に与えたプロメテウスの罪を罰するため，ゼウスがヘファイストスに命じてつくらせた最初の女性。エピメテウスの妻となって地上に降りた彼女は禁断の壺を好奇心にかられて開いてしまい、中からあらゆる諸悪が飛び出したので蓋をしめたところ，〈希望〉だけが残ったという。,パンドラ,
ギリシア神話の神。ティタン神族の一人。ティタノマキアでの敗北を機に、ゼウスによって蒼穹（天空）を肩にのせて支える役を課せられた。大西洋や北アフリカの山脈、地図の名称の語源になっている。,アトラス,
ギリシア神話の半人半獣神。額に2本の角のある怪異な面貌と，やぎの下半身をもちっけいな姿がすべての神々の心を楽しませたので，ギリシア語で「すべて」を意味するパンという名をつけられたという。パニックの語源で、やぎ座のモデル。,パン,
ギリシア神話の怪物。ティタンたちをタルタロスに閉じ込めたゼウスの仕打ちに立腹したガイアが産んだとされる。ゼウスの雷霆によって打倒された。,テュフォン,
ギリシア神話の英雄。孫に殺されるとの予言を受けたアクリシオス王によって幽閉されていた娘ダナエが黄金の雨と化して訪れたゼウスとの間に生んだ。生後すぐに海に流されたが、たどり着いた島の王に無茶振りを受け、メデューサの討伐を行った。またその帰途にアンドロメダを助けて妻にした。最終的には故郷で投げた円盤が祖父に当たってしまい、予言が実現することとなった。,ペルセウス,
ギリシア神話の英雄。その名は〈ヘラ女神の栄光〉の意。ゼウスとアルクメネの子で、ヘラの嫉妬を受けて2匹の蛇を遣わされるも赤子の彼は容易にそれをしめ殺したという。ヘラによって狂気にされ自分の子供達を殺してしまい、正気に戻った後、12の難業を果たすことでその罪を雪ごうとした。難業はネメアのライオン（→しし座）退治やヒュドラ（→うみへび座）退治、ケルベロスの捕獲などからなる。,ヘラクレス,
ギリシア神話の英雄で人間。ミノタウロス退治のため自ら貢ぎ物となる男女に混じってクレタ島へ赴き、彼に恋したアリアドネの助けにより大功をたてた。,テセウス,
ギリシア神話の英雄で、ホメロスの叙事詩『イリアス』に登場する主人公。母である海の神テティスは彼を不死身にするため冥界の川ステュクスに浸したが、そのとき彼女がつかんでいた彼のかかとだけが水につからず不死身とはならなかった。トロイヤ戦争ではギリシア側総大将への私怨から出陣を渋っていたが、彼の武具を借りて戦ったパトロクロスが死んだことで仇を取るために参戦し、トロイヤ側の総大将ヘクトルを倒した。しかし、パリスの弓に踵を射られて死んだ。,アキレウス,
ギリシア伝説のトロイア王子。ヘクトルの弟。ヘラ・アテナ・アフロディテの三女神がその美を競った際に審判を行い、世界一の美女を与えると約束したアフロディテに勝利を宣した。その約束によってスパルタの王妃ヘレネを奪ったため、トロイヤ戦争が起きた。戦争では敵軍のアキレウスを倒したことで知られる。,パリス,
ギリシア神話の英雄。ホメロスの『オデュッセイア』の主人公。トロイヤ戦争では木馬の詭計を用いてギリシア軍を勝利に導いた。この勝利ののち，10年間にわたる艱難辛苦の末に，ようやく故国に帰り着いた。オデッセイの語源。,オデュッセウス,
ギリシア神話の英雄。トロヤ戦争ではギリシア軍の総大将として出陣した。トロヤ攻略後、アガメムノンは、トロヤの王女カッサンドラの預言を無視して帰国し、暗殺された。,アガメムノン,
ギリシア神話に登場するトロイヤ王の娘。アポロンによって予言の能力を授けられたが、神に体を与えるのを拒んだために彼女の予言は誰にも信じてもらえないようになってしまった。トロイヤ戦争ではトロイアの滅亡をつねに予言していたが受け入れられず、陥落後は敵将アガメムノンの妾となったがアガメムノンともども殺された。,カッサンドラ,
ギリシア神話の自然界の精。狩りの女神アルテミスに従って山野に遊び暮らす。,ニンフ,
プラトンが対話篇「ティマイオス」と「クリティアス」で述べている伝説上の島。ジブラルタル海峡の西にあったが、そこに住んでいたポセイドンの子孫たちが堕落し生活が荒廃したため、その罰として海底に没したという。,アトランティス,
ギリシア神話の工匠ダイダロスの息子。ダイダロスが、アリアドネに迷宮ラビリントスから英雄テセウスを救い出す方法を教えたため、共にミノス王に幽閉された。ダイダロスの考案した翼を蝋で体に貼り付けることによって脱出に成功したものの、あまりに高く飛んだため、太陽の熱で蝋が溶け、海中に落ちて死んだ。,イカロス,
ギリシア神話の人類の祖。プロメテウスの子で神々に敬虔な人柄であったため、ゼウスが人類を大洪水で滅ぼそうとした際に箱舟を作って難を逃れた。旧約聖書のノアに相当する。,デウカリオン,
ギリシア神話の争いの女神。ペレウスとテティスの結婚を祝う神々の宴会に招かれなかった腹いせに、「最も美しい女神へ」と記された黄金のリンゴを投げ入れ、トロイヤ戦争のきっかけを作った。なお、ペレウスとテティスからアキレウスが生まれた。,エリス,
アレクサンドロス大王の東方遠征以後ギリシア人旅行者にとって観光の対象となった著名な七つの建造物。クフ王のピラミッド、バビロンの空中庭園、オリンピアのゼウス像、エフェソスのアルテミス神殿、ハリカルナッソスのマウソロス陵墓、ロドス島のヘリオス像、アレクサンドリアの大灯台からなる。,世界の七不思議,
フランスの叙事詩「ロランの歌」に登場する英雄、ロランが所持する聖なる剣。シャルルマーニュ王から授けられたものとされる。,デュランダル,
細胞が物質を細胞外に放出する過程の一つ。細胞内で合成された物質を含む小胞が細胞膜と融合したところに開口部が生じ、内容物を外部に放出する。内部に取り込むエンドサイトーシスに対していう。,エキソサイトーシス,
細胞骨格の一つで、細胞間の接着・細胞分裂・筋肉の収縮などに重要な役割を果たす。,アクチンフィラメント,
細胞骨格を構成するたんぱく質の線維。細胞の張力を保つのに重要な役割を果たしている。,中間径フィラメント,
主として植物の細胞壁の中層を形成する物質で、細胞どうしを接着する糊の役目をしている。熟した果実に大量に存在し、砂糖を加えると固まってゼリー状になるので、ジャムおよびゼリー製造に利用される。,ペクチン,
植物のコルク組織の主成分。これによってコルク化した細胞壁は水や気体を通しにくくなる。,スベリン,
細胞膜内外の濃度勾配に従って物質が移動すること。エネルギーを必要としない。,受動輸送,
細胞膜に存在するたんぱく質の一つ。水分子を選択的に通す細孔を持ち、細胞への水の出入りに重要な役割を果たしている。,アクアポリン,
赤血球が崩壊し，膜からヘモグロビンが溶出すること。,溶血,
ギリシア神話に登場する女性。エチオピアの王ケフェウスとカシオペイアの娘。カシオペイアが海の精よりも美しい娘だと自慢したので、怒った海神は怪物（→くじら座）を送り出して国中を荒した。この怪物への人身御供として岩に縛られていたところをペルセウスに救われ、その妻となった。,アンドロメダ,
アステリズムの一つ。ペガスス座のα星マルカブ、β星シェアト、γ星アルゲニブとアンドロメダ座のα星アルフェラッツで構成される。,秋の四辺形,
いて座の上半身と弓の一部を構成する六つの星をつなぐとできる、ひしゃく型の星の並び。,南斗六星,
ギリシア神話に登場する怪物ケンタウロスの一人。ヘラクレスがケンタウロスたちと争ったおりに，ヘラクレスの毒矢を受け、不死の身ながらその痛みに耐えかねた彼は、その不死をプロメテウスに譲って死んだ。射手座のモデル。,ケイロン,
秋の南の空高くに見える星座。女神アフロディテとその子エロスが怪物テュフォンから逃げるときに化した姿とされる。,うお座,
アステリズムの一つ。うしかい座のアークトゥルスと、おとめ座のスピカまでの曲線のこと。しし座のデネボラを加えた「春の大三角」や、さらにりょうけん座のコル・カロリを加えた「春のダイヤモンド」も有名。,春の大曲線,
南天の星座。ギリシア神話では、大神ゼウスの雷に打たれたアポロンの息子ファエトンが落ちて死んだ川とされている。,エリダヌス座,
北斗七星を含む星座。ギリシア神話では、ニンフであるカリストの化身とされている。カリストはアルテミスの姿をかりて近づいたゼウスによって貞操をけがされ，妊娠したために，処女女神アルテミスの怒りに触れて姿を変えられてしまった。のちに成長した息子のアルカスと出会ったときに、誤って殺されそうになったため、ゼウスによってともに星座にされた。,おおぐま座,
ギリシア神話に登場する狩りの名人。アルテミス女神に仕えるが、あるとき情欲を抱いて彼女を犯そうとしたため、怒った女神が送った巨大なサソリに刺されて死んだ。,オリオン,
かに座にある散開星団。略号 M44。,プレセペ星団,
星座。ギリシア神話では太陽神アポロンの使いで，銀色の翼をし，人間の言葉を話す賢い動物であった。しかし自分の道草のいいわけに，アポロンの妻コロニスの不貞をいいたて，アポロンが矢で貞節な妻を殺す事態になった。後でこれが虚言だったとバレて、羽を黒くされた。,からす座,
夏の星座。1683年、トルコの大軍がウィーンに迫ったとき、これを撃破したポーランド王ヤン3世ソビエスキーの武勇を記念するために制定された。,たて座,
天の南極近くにある星座。ケープタウンの南側にある平たんな岩山に見立てられる。,テーブルさん座,
夏の星座。ギリシア神話の正義の女神アストライア（おとめ座）がもつ，人間の善悪をはかる道具を象徴する。,てんびん座,
冬の南天に低く見える星座。あまりにも大きすぎるため、ほ座（にせ十字）、とも座、らしんばん座、りゅうこつ座の4星座に分割して見られる。ギリシア神話では、金の羊毛皮獲得の旅に出たイアソンら英雄たちが乗り組んだ船。,アルゴ座,
冬の星座。ノアの箱舟から放たれオリーブの小枝をくわえてもどってきた生き物に見立てられる。,はと座,
冬の星座。ギリシア神話の英雄カストルとポルックスの姿を表す。カストルとポルックスはまとめてディオスクロイとも呼ばれる。,ふたご座,
夏の星座。ギリシアの神話の医術の神アスクレピオスの姿を表す。アスクレピオスは死人まで生返らせてしまうほどの名医となったことでハデスの怒りを買い殺された。,へびつかい座,
秋の星座。ギリシア神話では、リンポス山での神々の酒宴の席にはべらされた美少年でトロヤの王子ガニメデスの姿としている。こぼれ落ちた水がみなみのうおの口に注がれている。,みずがめ座,
りゅうこつ座のα星。老人星とも。シリウスに次いで全天で2番目に明るい。,カノープス,
りょうけん座のα星。イギリス国王チャールズ2世をたたえて、〈チャールズの心臓〉という意味の名前がつけられた。,コル･カロリ,
2世紀前半に活躍したギリシアの天文学者。天動説の完成者。英語ではトレミーと呼ばれ、48星座を制定したことでも有名。代表的な著作は『アルマゲスト』など。,プトレマイオス,
ドイツの天文学者。プトレマイオスの 48星座に南天に新たにつくった 12星座を加え、また星座中の肉眼で見える恒星すべてにギリシア文字を順番にふった。著書『ウラノメトリア』で知られる。,ヨハン・バイエル,
ドイツの天文学者。やまねこ座やケルベルス座など、考案した7つの星座が現在でも用いられている。,ヨハネス・ヘベリウス,
フランスの天文学者。がか座やちょうこくぐ座、レチクル座など南天の14の星座を新設した。,ニコラ＝ルイ・ド・ラカイユ,
しぶんぎ座（→りゅう座）流星群、ペルセウス座流星群、ふたご座流星群の3つのこと。,三大流星群,
おおいぬ座のシリウス、こいぬ座のプロキオン、ふたご座のポルックス、ぎょしゃ座のカペラ、おうし座のアルデバラン、オリオン座のリゲルを結んでできる六角形。,冬のダイヤモンド,
イギリス、スコットランド北部の湖。怪獣ネッシーが住むとされる。,ネス湖,
ドーナツ型の堅焼きパン。,ベーグル,
未舗装路を走るスポーツ。,トレイルランニング,
法規上公道走行が可能な車両で1台ずつタイムアタックをする自動車競技。モンテ・カルロのレースや、パリ・ダカール間のレースが有名。ドライバーと、進路案内を行うコ・ドライバーの二名が車両に搭乗して行う。,ラリー,
原野・砂漠・山岳地帯・ジャングルなど、自然環境の中で行われる自動車のラリー競技。,ラリーレイド（クロスカントリーラリー）,
四輪のすべてに回転を伝えて走る自動車。,4WD,
F1モナコグランプリ、ル・マン24時間耐久レースと共に、世界三大レースの一つとして数えられる、アメリカ最大のモータースポーツイベント。優勝者は表彰式でミルクを飲んで祝う。,インディ500（インディアナポリス500マイル・レース）,
自動車競走専用に製造された単座席のレーシングカー。タイヤが露出し，屋根がない。そのレースの最高峰はF1。日本ではスーパーフォーミュラなどのレースが開催されている。,フォーミュラカー,
長距離を高速で走れる高性能車。レースに出場が可能なくらいチューンアップした、市販の高性能車。GT。,グランツーリスモ,
元来は旅行に適した自動車のこと。レース用車両としては，市販を目的とした量産車をもとに改造を加えた自動車をいう。,ツーリングカー,
